SID,CNT,SHOW_TYPE
2101,98744,1
2101,98744,1
2101,98744,2
2101,98744,1
2101,98744,2
2101,98744,1
2101,98744,2
2101,98744,2
2101,98744,1
2101,98744,1
2101,98744,1
2101,98744,1
2101,98744,1
2101,98744,1
2101,98744,1
2101,98744,2
2101,98744,2
2101,98744,2
2101,98744,1
2101,98744,1
2101,98744,1
2101,98744,1
2101,98744,1
2101,98744,1
2101,98744,2
2101,98744,2
2101,98744,2
2101,98744,1
2101,98744,1
2101,98744,2
2101,98744,1
2101,98744,2
2101,98744,2
2101,98744,4
2101,98744,2
2101,98744,9
2101,98744,9
2101,98744,9
2101,98744,2
2101,98744,2
2101,98744,2
2101,98744,2
2101,98744,2
2101,98744,2
2101,98744,2
2101,98744,2
2101,98744,4
2101,98744,2
2101,98744,2
2101,98744,2
2101,98744,2
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,2
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,2
3101,83195,1
3101,83195,2
3101,83195,1
3101,83195,2
3101,83195,2
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,2
3101,83195,2
3101,83195,2
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,1
3101,83195,2
3101,83195,2
3101,83195,2
3101,83195,1
3101,83195,1
3101,83195,2
3101,83195,1
3101,83195,2
3101,83195,2
3101,83195,4
3101,83195,2
3101,83195,9
3101,83195,9
3101,83195,9
3101,83195,2
3101,83195,2
